iter	Passed	Remaining
0	10	1001
1	14	713
2	18	614
3	23	559
4	28	548
5	36	578
6	41	546
7	46	537
8	52	527
9	58	525
10	63	511
11	67	496
12	72	483
13	78	479
14	84	476
15	89	468
16	93	457
17	97	445
18	102	436
19	106	427
20	111	418
21	115	408
22	119	400
23	123	392
24	128	384
25	132	377
26	137	372
27	142	365
28	146	358
29	151	352
30	155	347
31	160	340
32	164	334
33	169	328
34	173	322
35	177	316
36	182	311
37	186	304
38	191	299
39	195	293
40	200	287
41	203	281
42	208	275
43	212	270
44	216	264
45	220	258
46	224	252
47	228	247
48	232	241
49	236	236
50	240	230
51	244	225
52	247	219
53	251	214
54	255	209
55	260	204
56	264	199
57	267	194
58	271	189
59	275	183
60	280	179
61	284	174
62	287	169
63	293	164
64	297	160
65	301	155
66	305	150
67	309	145
68	313	140
69	317	135
70	321	131
71	325	126
72	328	121
73	332	116
74	336	112
75	341	107
76	344	103
77	348	98
78	352	93
79	356	89
80	360	84
81	364	80
82	368	75
83	372	70
84	376	66
85	381	62
86	385	57
87	389	53
88	393	48
89	397	44
90	401	39
91	405	35
92	409	30
93	413	26
94	418	22
95	422	17
96	427	13
97	432	8
98	436	4
99	440	0
